OrderLineID,TransactionID,ProductID,Quantity,UnitPrice,Discount,LineTotal
"OL-1","TRN-9001","C302","1","","0","50"
" OL-2 ","TRN-9002","P202","2","65","0.1","117"
"OL-2","TRN-9002","P202","2","65","0.1","117"
"OL-4","TRN-9003","","3","","","195"
"OL-5","TRN-9003","P202","2","65","0","130"
" OL-6 ","TRN-9004","#N/A","3","50","0","150"
"","TRN-9004","C304","1","58","0","58"
"OL-7","TRN-9004","C304","1","58","0","58"
"OL-9","TRN-9004","P103","3","95","0","285"
"OL-10","TRN-9005"," C301 ","2","55","","110"
"OL-11","TRN-9005","","2","60","0","120"
"#N/A","TRN-9006","P101","2","85","0.05","161.5"
"","TRN-9006","P103","3","95","","270.75"
"OL-14","","P203","2","68","0.1","122.4"
"OL-15","TRN-9007","C303","3","60","0.1","162"
"OL-16","","P201","3","70","0.1",""
"OL-17"," TRN-9008 ","P102","1","80","0.1","72"
"OL-18","TRN-9008","P102","1","80","0.1","72"
"OL-19","TRN-9009","P202","1","65","0","65"
"OL-20","TRN-9009","","","70","0","210"
"OL-21","TRN-9009","C303","3","60","0","180"
"OL-22","TRN-9010","","2","68","0","136"
"OL-23"," TRN-9011 ","P202","1","65","0.1","58.5"
"OL-24","TRN-9011","C304","3","58","0.1","156.6"
"OL-24","TRN-9011","C304","3","58","0.1","156.6"
"OL-25","TRN-9011","P102","1","80","0.1","72"
"#N/A","TRN-9012","P102","1","80","","80"
"OL-27","TRN-9012","P102","1","80","0","80"
"OL-28","TRN-9013","P103","2","95","0","190"
"OL-30","TRN-9013","C304","1","58","0","58"
"OL-31","TRN-9013","P203","3","68","0","204"
"","TRN-9014"," C301 ","2","","0","110"
"OL-32","TRN-9014","C301","2","55","0","110"
" OL-34 ","TRN-9015","C301","1","55","0.1","49.5"
"OL-35","TRN-9015","P202","1","65","0.1","58.5"
"OL-36"," TRN-9015 ","P203","","68","0.1","61.2"
"OL-37","TRN-9016","C303","3","60","0","180"
"OL-38","TRN-9017","C301","1","55","0","55"
"OL-39","TRN-9017","P102","","80","0","160"
"OL-40","TRN-9017","","1","95","0","95"
"","TRN-9018","P102","2","80","0","160"
" OL-42 ","TRN-9018","P103","1","95","0","95"
"","","","3","68","0","204"
"OL-44","TRN-9019","P101","3","85","0",""
"OL-45"," TRN-9019 "," P103 ","2","95","0","190"
"OL-46","TRN-9020","P201","3","70","0.15","178.5"
"OL-47","TRN-9020","C303","1","60","0.15","51"
"OL-48","TRN-9020","P102","2","80","0.15","136"
"OL-49","TRN-9021","P103","3","95","0","285"
"OL-49","TRN-9021","P103","3","95","0","285"
"OL-51","TRN-9021","C302","","50","0","150"
"OL-52","","P201","","70","","59.5"
"OL-53"," TRN-9022 ","","3","","0.15","173.4"
"OL-53","TRN-9022","P203","3","68","0.15","173.4"
"","TRN-9023","#N/A","3","","0.1","175.5"
"OL-56","TRN-9023","","3","50","0.1","135"
"OL-57","TRN-9023","P201","3","70","0.1","189"
