transaction_id,date,customer_id,store_id,payment_method,total_amount
TRN-9001,, CUST-1396 ,STO-02,Debit Card,497.8
TRN-9002, 2022-07-30 ,CUST-1369,STO-03,Cash,575
#N/A,1/3/2026,CUST-1362,STO-01,Debit Card,45
TRN-9004,7/23/2025,CUST-1005,STO-03,Debit Card,321.3
TRN-9005,8/26/2025, CUST-1221 ,STO-02,,590
TRN-9006,3/16/2024,CUST-1007,STO-02,Debit Card,55
TRN-9007,9/28/2023,CUST-1031,STO-01,Cash,
 TRN-9008 ,1/27/2026,CUST-1277, STO-03 ,Credit Card,450
TRN-9009,3/16/2025,CUST-1373, STO-01 ,Credit Card,412.25
TRN-9009,3/16/2025,CUST-1373,STO-01,Credit Card,412.25
TRN-9011, 2022-02-04 ,CUST-1390, STO-03 ,Credit Card,445
,3/10/2025, CUST-1180 , STO-02 ,Cash,577.6
, 2025-11-29 ,,#N/A,Debit Card,430
TRN-9013,11/29/2025,CUST-1235,STO-02,Debit Card,430
TRN-9014,3/4/2024,CUST-1248,STO-01,Mobile Payment,378.1
TRN-9016,,CUST-1294,STO-03,Mobile Payment,113
,6/22/2023,CUST-1055,,,289
TRN-9018,8/17/2024,CUST-1389, STO-04 ,,765
TRN-9019, 2025-01-31 ,CUST-1336,STO-04, Mobile Payment ,378
TRN-9019,1/31/2025,CUST-1336,STO-04,Mobile Payment,378
TRN-9021,12/8/2023,CUST-1291,, Debit Card ,55
TRN-9022,,CUST-1344,STO-03,Cash,355
TRN-9023,11/28/2022,CUST-1390,STO-03,Cash,431
TRN-9024,2/10/2026,CUST-1039,STO-01,Mobile Payment,
TRN-9025,2/1/2026,CUST-1253,,Credit Card,141.1
TRN-9026, 2023-04-21 , CUST-1145 ,STO-02,Debit Card,
#N/A,4/20/2023,CUST-1064, STO-04 ,,666
TRN-9028,,#N/A,STO-03,Cash,418
TRN-9029,5/18/2023,CUST-1035,STO-02,Credit Card,261.25
TRN-9029,5/18/2023,CUST-1035,STO-02,Credit Card,261.25
TRN-9031,3/21/2025, CUST-1248 ,STO-01,Mobile Payment,485
TRN-9032,#N/A,CUST-1307,STO-03,Debit Card,365
TRN-9033, 2023-07-26 ,CUST-1278, STO-04 ,Credit Card,440
TRN-9034,1/19/2026,,STO-04,Cash,
TRN-9035,2/5/2025,CUST-1124, STO-04 , Mobile Payment ,400
TRN-9036,7/19/2023, CUST-1286 ,STO-02,Mobile Payment,95
TRN-9036,7/19/2023,CUST-1286,STO-02,Mobile Payment,95
TRN-9037,9/6/2023,CUST-1168,STO-02,Debit Card,175.5
TRN-9039,9/27/2025,CUST-1304,STO-02,Cash,170
TRN-9040,,CUST-1247,STO-02,Cash,45
TRN-9041,11/9/2025, CUST-1294 ,STO-03,Mobile Payment,412.25
TRN-9042,7/10/2025, CUST-1118 ,STO-01,Debit Card,451
TRN-9043,4/30/2022,CUST-1060,STO-03,Mobile Payment,414
TRN-9044,3/10/2022,CUST-1284,STO-03,Mobile Payment,540
TRN-9045,11/30/2022,CUST-1265,STO-04,Credit Card,
 TRN-9046 ,#N/A,CUST-1005,STO-01,Cash,544
TRN-9047,6/6/2025,CUST-1049,STO-04,Cash,543.15
TRN-9048,,,STO-04,,290
TRN-9049,1/7/2022,CUST-1160,STO-03,Mobile Payment,251
,,CUST-1323,STO-02,,446.5
,2/5/2025,CUST-1275,STO-03,Debit Card,570
TRN-9051,2/5/2025,CUST-1275,STO-03,Debit Card,570
TRN-9053,4/8/2025,CUST-1054,STO-03,Credit Card,190
TRN-9054,#N/A, CUST-1140 ,STO-02,Debit Card,160
TRN-9055,6/21/2025,CUST-1109,STO-01,Mobile Payment,410
TRN-9056,11/30/2023,CUST-1148,STO-02,Credit Card,442
TRN-9057, 2024-04-07 , CUST-1105 ,STO-02,Cash,
TRN-9058,11/26/2022,CUST-1017,STO-02,Credit Card,216.75
TRN-9059, 2025-08-25 ,CUST-1302,STO-01,Mobile Payment,314.5
TRN-9059,8/25/2025,CUST-1302,STO-01,Mobile Payment,314.5
TRN-9061,7/21/2022,CUST-1073,STO-01,Credit Card,274
TRN-9062,,CUST-1304,STO-02,Cash,
TRN-9063, 2025-02-26 ,CUST-1075,STO-04,Mobile Payment,100
 TRN-9064 ,, CUST-1022 ,STO-02,Credit Card,374
TRN-9065, 2025-10-13 ,CUST-1318,STO-04,Cash,310
#N/A,1/15/2024,CUST-1095,STO-04, Credit Card ,475
#N/A,6/11/2025,CUST-1348, STO-01 ,Cash,65
TRN-9068,12/10/2023,CUST-1140,STO-01,Cash,514
 TRN-9069 ,2/9/2025,CUST-1275,STO-03, Mobile Payment ,342
TRN-9070,4/25/2025,CUST-1153,STO-04,Mobile Payment,150
TRN-9071,5/28/2024,CUST-1180, STO-01 ,Mobile Payment,531
TRN-9071,5/28/2024,CUST-1180,STO-01,Mobile Payment,531
TRN-9073,10/2/2025,,STO-04,Debit Card,585
TRN-9074,3/10/2024, CUST-1209 ,STO-04,Debit Card,414.9
TRN-9075,12/7/2024,CUST-1116,STO-01,Cash,108
TRN-9076,11/21/2023,CUST-1275,STO-04,Debit Card,248
TRN-9077,#N/A,CUST-1339,STO-02,Credit Card,301.5
TRN-9077,9/15/2023,CUST-1339,STO-02,Credit Card,301.5
 TRN-9079 ,4/17/2025,#N/A,STO-01,Cash,475
TRN-9080,10/30/2022,CUST-1117,STO-01,Debit Card,76.5
TRN-9081,3/17/2025,CUST-1097,#N/A,Cash,201
TRN-9082,#N/A,,STO-02,Cash,266
TRN-9083,9/28/2023,CUST-1165,STO-03,,
TRN-9084,8/26/2023,CUST-1304,STO-03,Cash,85
 TRN-9085 ,11/19/2024,CUST-1298,#N/A,Debit Card,95
TRN-9086,,CUST-1088,STO-02,Credit Card,295
TRN-9087,1/16/2025,,STO-03,Debit Card,95
,,CUST-1390,,Mobile Payment,334
TRN-9089, 2022-04-16 ,CUST-1013,STO-03,Mobile Payment,64.6
TRN-9090,3/13/2023,,,Debit Card,204
TRN-9090,3/13/2023,CUST-1277,STO-04,Debit Card,204
TRN-9092,9/7/2022,CUST-1147,STO-02,Cash,
TRN-9093,10/21/2023,CUST-1080,STO-01,Debit Card,281
TRN-9094,11/17/2024,CUST-1066,STO-01,Cash,675
 TRN-9095 ,9/1/2025,CUST-1318,STO-02,Mobile Payment,314.5
 TRN-9096 ,10/13/2022,CUST-1192,STO-02,Cash,95
#N/A,12/15/2023,CUST-1233,, Cash ,
TRN-9098,,CUST-1247,STO-01,Cash,540
TRN-9099,6/15/2023, CUST-1122 ,#N/A,Cash,234
TRN-9100,9/4/2025,CUST-1130,STO-04,Mobile Payment,656
TRN-9101,1/14/2024,CUST-1347,STO-01,Mobile Payment,55
TRN-9102,,CUST-1143, STO-03 ,Credit Card,
